2023-09-12,1,USD,37.79,38.16
2023-09-13,1,USD,37.83,38.2
2023-09-14,1,USD,37.83,38.2
2023-09-18,1,USD,37.83,38.2
2023-09-19,1,USD,37.77,38.14
2023-09-20,1,USD,37.86,38.23
2023-09-21,1,USD,37.86,38.23
2023-09-25,1,USD,37.86,38.23
2023-09-26,1,USD,37.86,38.23
2023-09-27,1,USD,37.86,38.23
2023-10-02,1,USD,37.89,38.26
2023-10-03,1,USD,37.89,38.26
2023-10-04,1,USD,37.89,38.26
2023-10-05,1,USD,37.93,38.32
2023-10-09,1,USD,37.96,38.35
2023-10-10,1,USD,38.02,38.41
2023-10-11,1,USD,38.03,38.42
2023-10-12,1,USD,38.03,38.42
2023-10-16,1,USD,38.03,38.42
2023-10-17,1,USD,38.29,38.68
2023-10-18,1,USD,38.29,38.68
2023-10-19,1,USD,38.29,38.68
2023-10-23,1,USD,38.45,38.84
2023-10-24,1,USD,38.72,39.11
2023-10-25,1,USD,38.91,39.3
